Date,Merchant,Amount,Category
2024-01-02,Swiggy,450,Food
2024-01-03,Uber,200,Transport
2024-01-04,Netflix,649,Entertainment
2024-01-05,Starbucks,380,Food
2024-01-06,Swiggy,520,Food
2024-01-07,Amazon,2500,Shopping
2024-01-08,Zomato,350,Food
2024-01-09,Reliance Mart,1800,Groceries
2024-01-10,Swiggy,480,Food
2024-01-11,Spotify,119,Entertainment
2024-01-12,Uber,350,Transport
2024-01-13,Swiggy,390,Food
2024-01-14,McDonald's,270,Food
2024-01-15,Electricity Board,1500,Utilities
2024-01-16,Swiggy,510,Food
2024-01-17,Starbucks,420,Food
2024-01-18,Uber,180,Transport
2024-01-19,Zomato,680,Food
2024-01-20,Amazon Prime,199,Entertainment
2024-01-21,Swiggy,440,Food
2024-01-22,Reliance Mart,2200,Groceries
2024-01-23,Fuel Station,2000,Transport
2024-01-24,Gym Membership,1500,Health
2024-01-25,Swiggy,460,Food
2024-01-26,Movie Tickets,800,Entertainment
2024-01-27,Uber,220,Transport
2024-01-28,Netflix,649,Entertainment
2024-01-29,Swiggy,500,Food
2024-01-30,Starbucks,350,Food
2024-01-31,Electricity Board,1500,Utilities
